header animal,IdKey,Name,Icon,Art,Speed,Capacity,Food,ThroughputPerFood,Cost,Desc
animal,1,Donkey,Donkey,Donkey,2,1,1,2,750,"The most common and affordable pack animal. Hardy and fuel-efficient, but slow and not exceptionally strong. The workhorse of the common person."
animal,2,Pony,Pony,Pony,3,1,1,3,7250,"A small, hardy horse breed adapted to rough terrain or vast steppes. Valued for its incredible endurance and efficiency over long distances."
animal,3,Mule,Mule,Mule,2,2,2,2,2500,"A sterile hybrid of a donkey and horse. Prized for its strength, stamina, and intelligence. Can handle terrain and work longer than a horse, making it a premier pack animal."
animal,4,Riding Horse,RidingHorse,RidingHorse,5,1,2,2.5,19500,"Bred for speed and agility, this horse is ideal for riders, messengers, and lightly packed scouts. Less efficient for heavy loads than a mule."
animal,5,Tamed Onager,TamedOnager,TamedOnager,3,2,2,3,29250,"A wild ass from the deserts of Persia. Faster than a donkey but notoriously difficult to tame and control. A prestigious, if impractical, chariot animal."
animal,6,Draft Horse,DraftHorse,DraftHorse,3,3,4,2.25,27750,"A heavier, stronger breed of horse, used for pulling wagons and plows. Faster than an ox but requires more care and better quality food (grain)."
animal,7,Heavy Warhorse,HeavyWarhorse,HeavyWarhorse,4,2,4,2,20500,"A massive, powerful horse bred to carry a fully armored rider (a cataphract or knight) into battle. Slow to accelerate but devastating in a charge."
animal,8,Ox,Ox,Ox,2,5,4,2.5,31250,"A castrated bull, the primary beast of burden for heavy pulling. Incredibly strong and steady, but very slow. Can subsist on poor-quality fodder."
animal,9,Zebu,Zebu,Zebu,3,3,3,3,65500,"A type of domestic cattle from India with a distinctive fatty hump. Highly resistant to heat and drought, making it an ideal draft animal for the region."
animal,10,Water Buffalo,WaterBuffalo,WaterBuffalo,2,4,3,2.666666667,24250,"A powerful bovine, perfectly adapted for pulling plows and carts through deep mud and water. Slower and less heat-tolerant than an ox on dry land."
animal,11,Dromedary Camel,DromedaryCamel,DromedaryCamel,3,2,3,2,8750,"The one-humped 'ship of the desert'. Unmatched endurance in hot, arid climates due to its ability to conserve water. The backbone of caravan trade in Africa and Arabia."
animal,12,Bactrian Camel,BactrianCamel,BactrianCamel,4,2,3,2.666666667,48500,"The two-humped camel of Central Asia. Even stronger than a dromedary and better adapted to cold climates, making it vital for the high-altitude sections of the Silk Road."
animal,13,Yak,Yak,Yak,2,4,3,2.666666667,24250,The primary beast of burden in the high plateaus of the Himalayas. Uniquely adapted to extreme cold and low oxygen environments where other animals would perish.
animal,14,Reindeer,Reindeer,Reindeer,4,1,2,2,5000,"A semi-domesticated deer of the far north. A vital resource for northern cultures, used as a pack animal or for pulling sleds over snow and tundra."
animal,15,Asian Elephant,AsianElephant,AsianElephant,3,6,6,3,262500,A living engine of war and labor. Capable of carrying and pulling immense loads and inspiring terror on the battlefield. Extremely expensive to acquire and maintain.
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,BaseCost,1000,
,,,,,,,,Scale,0.1,
,,,,,,,,Speed,3,
,,,,,,,,Capacity,2.5,
,,,,,,,,Food,1.5,
,,,,,,,,OverallPower,2,
,,,,,,,,RoundingDivisor,250,
