header animaltype,IdKey,Name,Icon,Art,Speed,Capacity,Upkeep,ThroughputPerUpkeep,Price,StartsUnlocked,Desc
animaltype,1,Donkey,Donkey,Donkey,2,1,1,2,750,TRUE,"The most common and affordable pack animal. Hardy and fuel-efficient, but slow and not exceptionally strong. The workhorse of the common person."
animaltype,2,Pony,Pony,Pony,4,1,1,4,41000,FALSE,"A small, hardy horse breed adapted to rough terrain or vast steppes. Valued for its incredible endurance and efficiency over long distances."
animaltype,3,Mule,Mule,Mule,3,2,2,3,29250,FALSE,"A sterile hybrid of a donkey and horse. Prized for its strength, stamina, and intelligence. Can handle terrain and work longer than a horse, making it a premier pack animal."
animaltype,4,Riding Horse,RidingHorse,RidingHorse,6,1,2,3,58250,FALSE,"Bred for speed and agility, this horse is ideal for riders, messengers, and lightly packed scouts. Less efficient for heavy loads than a mule."
animaltype,5,Tamed Onager,TamedOnager,TamedOnager,4,2,2,4,163750,FALSE,"A wild ass from the deserts of Persia. Faster than a donkey but notoriously difficult to tame and control. A prestigious, if impractical, chariot animal."
animaltype,6,Draft Horse,DraftHorse,DraftHorse,4,3,4,3,155500,FALSE,"A heavier, stronger breed of horse, used for pulling wagons and plows. Faster than an ox but requires more care and better quality food (grain)."
animaltype,7,Heavy Warhorse,HeavyWarhorse,HeavyWarhorse,5,2,4,2.5,78250,FALSE,"A massive, powerful horse bred to carry a fully armored rider (a cataphract or knight) into battle. Slow to accelerate but devastating in a charge."
animaltype,8,Ox,Ox,Ox,3,5,4,3.75,356000,FALSE,"A castrated bull, the primary beast of burden for heavy pulling. Incredibly strong and steady, but very slow. Can subsist on poor-quality fodder."
animaltype,9,Zebu,Zebu,Zebu,4,3,3,4,368750,FALSE,"A type of domestic cattle from India with a distinctive fatty hump. Highly resistant to heat and drought, making it an ideal draft animal for the region."
animaltype,10,Water Buffalo,WaterBuffalo,WaterBuffalo,3,4,3,4,276500,FALSE,"A powerful bovine, perfectly adapted for pulling plows and carts through deep mud and water. Slower and less heat-tolerant than an ox on dry land."
animaltype,11,Dromedary Camel,DromedaryCamel,DromedaryCamel,4,2,3,2.666666667,48500,FALSE,"The one-humped 'ship of the desert'. Unmatched endurance in hot, arid climates due to its ability to conserve water. The backbone of caravan trade in Africa and Arabia."
animaltype,12,Bactrian Camel,BactrianCamel,BactrianCamel,5,2,3,3.333333333,185250,FALSE,"The two-humped camel of Central Asia. Even stronger than a dromedary and better adapted to cold climates, making it vital for the high-altitude sections of the Silk Road."
animaltype,13,Yak,Yak,Yak,5,3,3,5,1406250,FALSE,The primary beast of burden in the high plateaus of the Himalayas. Uniquely adapted to extreme cold and low oxygen environments where other animals would perish.
animaltype,14,Reindeer,Reindeer,Reindeer,5,1,2,2.5,19500,FALSE,"A semi-domesticated deer of the far north. A vital resource for northern cultures, used as a pack animal or for pulling sleds over snow and tundra."
animaltype,15,Asian Elephant,AsianElephant,AsianElephant,4,6,6,4,1474500,FALSE,A living engine of war and labor. Capable of carrying and pulling immense loads and inspiring terror on the battlefield. Extremely expensive to acquire and maintain.
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,BaseCost,1000,,
,,,,,,,,Scale,0.1,,
,,,,,,,,Speed,3,,
,,,,,,,,Capacity,2.5,,
,,,,,,,,Upkeep,1.5,,
,,,,,,,,OverallPower,2,,
,,,,,,,,RoundingDivisor,250,,
