header tradegood,IdKey,Name,Icon,Art,CategoryName,Density,Weight,StartPrice,Price,Desc,,,,
tradegood,1,Wheat,Wheat,Wheat,Grain,800,50,800,16,"A staple food grain, forming the basis of bread and sustenance.",,,MaxWeightMult,10
tradegood,2,Barley,Barley,Barley,Grain,750,50,600,12,"A hardy grain used for animal fodder, beer, and as a food source for soldiers.",,,UnitWeight,25
tradegood,3,Rice,Rice,Rice,Grain,850,50,1500,30,"A staple grain from the East, imported as a luxury food item.",,,PriceMult,0.01
tradegood,4,Olive Oil,OliveOil,OliveOil,Food,910,25,2500,25,"A cornerstone of Mediterranean life, used for cooking, lighting, and cleansing.",,,,
tradegood,5,Wine,Wine,Wine,Wine,1000,25,2000,20,A standard alcoholic beverage and vital part of social and religious life.,,,,
tradegood,6,Regional Wine,RegionalWine,RegionalWine,Wine,1000,25,5000,50,"High-quality wine from a specific, well-regarded region, prized by connoisseurs.",,,,
tradegood,7,Date Palm Wine,DatePalmWine,DatePalmWine,Wine,1050,25,1800,18,"A sweet, potent wine made from fermented dates, common in Mesopotamia.",,,,
tradegood,8,Beer,Beer,Beer,Beverage,1020,25,1000,10,"A grain-based beverage, popular in regions like Egypt and Northern Europe.",,,,
tradegood,9,Salted Fish,SaltedFish,SaltedFish,Food,950,20,1500,19,"A crucial source of preserved protein, especially for inland populations.",,,,
tradegood,10,Garum,Garum,Garum,Food,1100,5,4000,200,"A highly prized fermented fish sauce, used as a powerful condiment.",,,,
tradegood,11,Honey,Honey,Honey,Food,1420,5,3000,150,"The primary sweetener of the ancient world, also used in medicine.",,,,
tradegood,12,Cured Hams,CuredHams,CuredHams,Food,900,10,2500,63,"A Gallic specialty, this preserved meat was a delicacy enjoyed by Romans.",,,,
tradegood,13,Dried Figs,DriedFigs,DriedFigs,Food,700,10,1800,45,An energy-rich and easily transportable food source popular in the Mediterranean.,,,,
tradegood,14,Dried Apricots,DriedApricots,DriedApricots,Food,650,10,2200,55,"A sweet dried fruit, a specialty of caravan cities like Damascus.",,,,
tradegood,15,Peaches,Peaches,Peaches,Food,600,10,3500,88,A desirable fruit that spread from Persia and Central Asia.,,,,
tradegood,16,Melons,Melons,Melons,Food,500,8,1200,38,"Large, sweet fruits grown in the hot climates of Central Asia and Persia.",,,,
tradegood,17,Oysters,Oysters,Oysters,Food,800,5,500,25,"A coastal delicacy, often preserved and shipped inland.",,,,
tradegood,18,Salt,Salt,Salt,Mineral,1200,25,1200,12,An essential mineral for preserving food and seasoning.,,,,
tradegood,19,Rock Salt,RockSalt,RockSalt,Mineral,1250,25,1500,15,"Salt mined from the earth in solid form, often considered pure.",,,,
tradegood,20,Raw Wool,RawWool,RawWool,Raw Textiles,200,10,1500,38,"Unprocessed fleece from sheep, the foundational material for common textiles.",,,,
tradegood,21,Fine Wool,FineWool,FineWool,Raw Textiles,180,10,2500,63,"Exceptionally soft wool from specific breeds, used for luxury garments.",,,,
tradegood,22,Raw Cotton,RawCotton,RawCotton,Raw Textiles,150,10,2000,50,"A soft fiber from India and Egypt, spun into a light, breathable cloth.",,,,
tradegood,23,Fine Cotton,FineCotton,FineCotton,Raw Textiles,140,10,3500,88,"High-grade cotton, such as that used for Muslin fabric in India.",,,,
tradegood,24,Raw Flax,RawFlax,RawFlax,Raw Textiles,250,10,1800,45,"The plant fiber used to produce linen, a major industry in Egypt.",,,,
tradegood,25,Linen,Linen,Linen,Textiles,400,5,6000,300,"A strong, absorbent cloth from flax, valued for its coolness in hot climates.",,,,
tradegood,26,Fine Linen,FineLinen,FineLinen,Textiles,380,5,10000,500,"Linen of the highest quality, almost translucent, primarily from Egypt.",,,,
