header city,IdKey,Name,Icon,Art,AncientName,Region,MapPixelX,,,MapPixelZ,Population,BiomeName,CultureName,PrimaryProducts,CommonlyAvailableAnimals,UncommonlyAvailableAnimals,Desc
city,1,Rome,Rome,Rome,Roma,Europe (Italy),1760,2041,2185,2185,1000000,Mediterranean,Roman,Fine Pottery;Blown Glass;Wine;Olive Oil,Donkey;Mule;Ox;Riding Horse;,Heavy Warhorse;Pony;Asian Elephant,"The sprawling heart of the Empire, a vast metropolis that consumes the tribute of a continent and projects power across the known world."
city,2,Athens,Athens,Athens,Athenae,Europe (Greece),2276,2221,2365,2365,250000,Mediterranean,Greek,Fine Pottery;Silver Coins;Marble;Honey;Olive Oil,Donkey;Mule;;Riding Horse,Ox;Pony,"The cradle of Western philosophy and democracy, famed for its monumental Acropolis, fine pottery, and bustling port of Piraeus."
city,3,Carthage,Carthage,Carthage,Carthago,North Africa,1660,2277,2421,2421,500000,Coastal Arid,Punic,Tyrian Purple Dye;Linen;Wheat;Salted Fish;Silver Bullion,Donkey;Mule;Dromedary Camel;Riding Horse,;Asian Elephant,"Rome's great rival, a mercantile powerhouse on the African coast, built on maritime trade and control of the seas before its fateful fall."
city,4,Alexandria,Alexandria,Alexandria,Alexandria ad Aegyptum,North Africa,2552,2537,2681,2681,500000,Coastal Arid,Egyptian,Papyrus;Linen;Blown Glass;Wheat;Black Pepper;Cinnamon,Donkey;Dromedary Camel;Riding Horse,Mule;;Zebu,"The intellectual and commercial hub of the Mediterranean, home to the Great Library and the Lighthouse, where Eastern goods meet Western markets."
city,5,Antioch,Antioch,Antioch,Antiochia ad Orontem,Asia (Levant),2844,2309,2453,2453,400000,Mediterranean,Levantine,Silk Fabric;Silverware;Fruit Preserves;Frankincense;Spices,Donkey;Mule;Dromedary Camel;Riding Horse;,Heavy Warhorse;Tamed Onager;Bactrian Camel,"A luxurious and cosmopolitan city near the Levant coast, serving as a major western terminus of the Silk Road and a gateway to Persia."
city,6,Tyre,Tyre,Tyre,Tyrus,Asia (Levant),2800,2441,2585,2585,60000,Mediterranean,Levantine,Tyrian Purple Dye;Cedar Timber;Blown Glass;Fine Linen,Donkey;Dromedary Camel;,Mule;Riding Horse,"An ancient Phoenician island fortress, legendary for its resilient defenders, skilled sailors, and the priceless purple dye harvested from its shores."
city,7,Babylon,Babylon,Babylon,Babylon,Asia (Mesopotamia),3220,2473,2617,2617,200000,Riverine Desert,Mesopotamian,Barley;Raw Wool;Dates;Wine;Bitumen,Donkey;Dromedary Camel;Water Buffalo;Ox,Tamed Onager;Riding Horse,"The ancient, magnificent capital of Mesopotamia, famed for its ziggurats and hanging gardens, situated on the fertile banks of the Euphrates."
city,8,Memphis,Memphis,Memphis,Men-nefer,North Africa,2620,2593,2737,2737,30000,Riverine Desert,Egyptian,Papyrus;Limestone;Granite;Linen;Faience Beads,Donkey;Dromedary Camel;Ox,,"The ancient capital of Lower Egypt, a city of immense religious importance and the administrative center for the wealth of the Nile Delta."
city,9,Istanbul,Istanbul,Istanbul,Byzantion/Constantinopolis,Europe,2512,2081,2225,2225,500000,Mediterranean / Temperate,Greek,Salted Fish;Wheat;Hides;Silk Fabric;Spices,Donkey;Mule;Ox;Riding Horse;Pony,Heavy Warhorse;Bactrian Camel;Reindeer,"The city on two continents, holding the strategic key to the Bosphorus strait and controlling all trade between the Black Sea and the Mediterranean."
city,10,Cadiz,Cadiz,Cadiz,Gades,Europe (Hispania),900,2289,2433,2433,20000,Mediterranean / Arid,Roman,Salted Fish;Garum;Tin Ingot;Silver Bullion,Donkey;Mule;Riding Horse,Ox,"A vital Phoenician and later Roman port on the Atlantic, a gateway for the mineral wealth of Hispania and trade from the mysterious northern seas."
city,11,Marseille,Marseille,Marseille,Massilia,Europe (Gaul),1436,1981,2125,2125,30000,Temperate Forest,Roman,Wine;Olive Oil;Salt;Amber;Tin Ingot,Donkey;Mule;Ox;,Riding Horse,"An old Greek colony on the coast of Gaul, serving as a key entry point for Roman goods and culture into the Celtic hinterlands."
city,12,Corinth,Corinth,Corinth,Corinthus,Europe (Greece),2228,2225,2369,2369,90000,Mediterranean,Greek,Fine Pottery;Bronze Armor;Perfumed Oils;Terracotta Statues,Donkey;Mule;,Riding Horse;Ox,"A wealthy Greek city controlling the strategic isthmus between the Peloponnese and mainland Greece, famed for its high-quality pottery and bronze."
city,13,Ephesus,Ephesus,Ephesus,Ephesus,Asia (Anatolia),2440,2225,2369,2369,250000,Highland Mediterranean,Greek,Marble Statues;Wine;Woolen Textiles;Frankincense,Donkey;Mule;Ox;;Riding Horse,Pony,"A bustling metropolis in western Anatolia, home to the great Temple of Artemis and a major center for trade and pilgrimage."
city,14,Palmyra,Palmyra,Palmyra,Tadmor,Asia (Syrian Desert),2940,2389,2533,2533,200000,Desert,Arab,Frankincense;Myrrh;Silk Fabric;Spices,Dromedary Camel;Donkey,Mule;Riding Horse;Tamed Onager,"A wealthy caravan city rising from the Syrian desert, a vital and often independent link on the Silk Road between the Roman and Persian spheres."
city,15,Petra,Petra,Petra,Petra,Asia (Levant),2812,2577,2721,2721,25000,Desert,Arab,Frankincense;Myrrh;Bitumen;Copper Ingot,Dromedary Camel;Donkey;,Mule,"The hidden capital of the Nabataeans, carved from red desert rock, which grew rich by controlling the lucrative incense trade routes from Arabia."
city,16,Leptis Magna,LeptisMagna,LeptisMagna,Leptis Magna,North Africa,1856,2461,2605,2605,80000,Coastal Arid,Arab,Olive Oil;Wheat;Red Slip Ware,Donkey;Dromedary Camel,Mule;,"A splendid Roman port city on the Libyan coast, which flourished as a major exporter of olive oil and exotic animals for the gladiatorial games."
city,17,Syracuse,Syracuse,Syracuse,Syracusae,Europe (Sicily),1884,2265,2409,2409,250000,Mediterranean,Greek,Wheat;Honey;Papyrus;Silver Coins,Donkey;Mule;Ox,,"The most powerful Greek city in Sicily, a major naval and commercial power that often challenged Athens and Carthage for dominance."
city,18,Meroë,Meroë,Meroë,Meroë,North Africa (Nubia),2736,3197,3341,3341,25000,Riverine Desert,Egyptian,Iron Ingot;Gold Bullion;Ivory;Ebony;Ostrich Feathers,Donkey;Dromedary Camel,;Asian Elephant,"The capital of the Kingdom of Kush, a southern powerhouse known for its distinctive pyramids, iron production, and trade in exotic African goods."
city,19,Lothal,Lothal,Lothal,Lothal,Asia (Indus Valley),4476,2925,3069,3069,2500,Riverine Arid,Indian,Carnelian Beads;Agate Beads;Ivory;Raw Cotton;Copper Ingot,Zebu;Water Buffalo,Donkey,"One of the most prominent cities of the ancient Indus Valley Civilization, featuring a massive and sophisticated dock for maritime trade."
city,20,Ur,Ur,Ur,Ur,Asia (Mesopotamia),3340,2545,2689,2689,65000,Riverine Desert,Mesopotamian,Woolen Textiles;Barley;Copper Ingot;Cuneiform Tablets,Donkey;Ox;Water Buffalo;Dromedary Camel,Tamed Onager,"A mighty Sumerian city-state in southern Mesopotamia, a cradle of civilization and an early hub for trade with lands across the Persian Gulf."
city,21,Xi'an,Xian,Xian,Chang'an,Asia (China),6176,2393,2537,2537,1000000,Temperate,Chinese,Silk Fabric;Lacquerware;Jade Carvings;Bronze Mirrors,Riding Horse;Draft Horse;Ox;Pony,Bactrian Camel,"The grand eastern terminus of the Silk Road and capital of powerful Chinese dynasties, a center of immense wealth, culture, and innovation."
city,22,London,London,London,Londinium,Europe (Britannia),1180,1605,1749,1749,60000,Temperate Maritime,Roman,Lead Ingots;Tin Ingot;Hides;Oysters;Woolen Textiles,Donkey;Ox;;Pony,Riding Horse;Mule,"A bustling Roman port and administrative center on the River Thames, the heart of commerce for the remote province of Britannia."
city,23,Lyon,Lyon,Lyon,Lugdunum,Europe (Gaul),1404,1865,2009,2009,75000,Temperate Forest,Roman,Fine Pottery;Wine;Gallic Glass;Silver Coins,Donkey;Mule;Ox;Draft Horse;,Riding Horse,"The capital of the Three Gauls and a major Roman administrative and industrial center, known for its mint and pottery production."
city,24,Paris,Paris,Paris,Lutetia Parisiorum,Europe (Gaul),1296,1725,1869,1869,200000,Temperate Forest,Roman,Wheat;Wine;Common Pottery;Cured Hams,Donkey;Ox;Draft Horse;,Mule,"A modest settlement of the Parisii tribe on an island in the Seine, which grew into a significant regional center under Roman rule."
city,25,Trier,Trier,Trier,Augusta Treverorum,Europe (Germania),1492,1681,1825,1825,75000,Temperate Forest,Germanic,Wine;Fine Pottery;Woolen Textiles;Bricks,Donkey;Ox;Draft Horse;,Mule;Pony,"A major Roman city on the Moselle River, which eventually became an imperial capital and one of the largest cities in the empire."
city,26,Cologne,Cologne,Cologne,Colonia Agrippinensis,Europe (Germania),1504,1629,1773,1773,45000,Temperate Forest,Germanic,Fine Glassware;Fine Pottery;Beer;Wheat,Donkey;Ox;Draft Horse;,Mule;Pony,"A key Roman military outpost and provincial capital on the Rhine frontier, guarding the empire against Germanic tribes."
city,27,Cordoba,Cordoba,Cordoba,Corduba,Europe (Hispania),968,2225,2369,2369,450000,Mediterranean / Arid,Roman,Olive Oil;Garum;Tanned Leather,Donkey;Mule;Riding Horse;Heavy Warhorse,Ox,"A major Roman and later Umayyad capital in Hispania, famed for its high-quality olive oil, leatherwork, and intellectual pursuits."
